"","Company","mkt_cap","pe","employees","recommend"
"213","HIG","23.01B","13.51","18800",1
"214","HII","8.43B","14.7","43000",0
"215","HLT","38.92B","32.49","159000",0
"216","HOLX","19.21B","19.96","6944",1
"217","HON","129.10B","26.9","97000",1
"218","HPE","19.86B","23.48","60200",0
"219","HPQ","27.96B","11.26","58000",0
"220","HRL","22.63B","22.63","20000",0
"221","HSIC","10.08B","19.99","22000",0
"222","HST","12.04B","19.22","165",1
"223","HSY","48.76B","33.22","18075",0
"224","HUM","60.61B","22.21","67100",1
"225","HWM","17.86B","39.47","21400",1
"226","IBM","115.52B","67.43","311300",0
"227","ICE","57.47B","39.91","8911",1
"228","IDXX","39.01B","60.07","10780",1
"229","IEX","16.59B","28.93","8868",1
"230","IFF","22.26B","-","24600",1
"231","ILMN","30.69B","-","11500",0
"232","INCY","16.40B","48.48","2324",1
"233","INTC","106.67B","13.32","131900",0
"234","INTU","114.56B","61.18","17300",1
"235","IP","12.80B","7.77","39000",0
"236","IPG","13.44B","14.71","58400",1
"237","IPGP","5.83B","61.99","6230",1
"238","IQV","38.50B","37.01","85000",1
"239","IR","23.60B","41.35","17000",1
"240","IRM","15.13B","28.26","27600",1
"241","ISRG","78.91B","63.28","12120",1
"242","IT","26.39B","33.89","19500",1
"243","ITW","71.44B","24.27","46000",0
"244","IVZ","7.73B","11.65","8611",0
"245","J","15.06B","24.11","60000",1
"246","JBHT","18.97B","19.94","37151",1
"247","JCI","43.64B","35.43","102000",1
"248","JKHY","11.98B","34.07","6847",0
"249","JNJ","394.29B","22.7","152700",0
"250","JNPR","10.16B","21.89","10901",0
"251","JPM","398.28B","11.4","293723",1
"252","K","22.22B","23.06","30000",0
"253","KEY","15.79B","9.01","18891",0
"254","KEYS","27.83B","24.88","15000",1
"255","KHC","46.49B","20.02","37000",0
"256","KIM","12.25B","125.79","639",1
"257","KLAC","53.20B","15.93","14000",1
"258","KMB","41.84B","21.65","44000",0
"259","KMI","38.52B","15.44","10525",0
"260","KMX","10.74B","19.81","32647",0
"261","KO","261.00B","27.38","82500",1
"262","KR","33.78B","15.5","420000",0
"263","L","13.76B","14.14","12050",0
"264","LDOS","12.83B","19.02","45000",1
"265","LEN","27.54B","6.26","12012",1
"266","LH","20.36B","16.61","80000",1
"267","LHX","39.16B","38.08","46000",0
"268","LIN","169.54B","43.08","65010",1
"269","LKQ","15.34B","14.07","45000",1
"270","LLY","294.49B","45.23","39000",1
"271","LMT","122.52B","22.07","116000",0
"272","LNC","4.83B","-","11316",0
"273","LNT","12.83B","18.91","3129",0
"274","LOW","118.81B","19.72","200000",1
"275","LRCX","66.35B","13.26","17700",1
"276","LUMN","3.08B","-","29000",0
"277","LUV","19.99B","42.91","66656",1
"278","LVS","44.66B","-","35500",1
"279","LW","14.42B","30.56","8000",1
"280","LYB","30.73B","7.89","19300",0
"281","LYV","16.16B","131.31","12800",1
"282","MA","336.63B","35.12","29900",1
"283","MAA","17.88B","28.44","2387",0
"284","MAR","52.77B","23.92","377000",0
"285","MAS","11.38B","14.18","19000",0
"286","MCD","193.01B","31.8","150000",1
"287","MCHP","45.43B","22.84","21000",1
"288","MCK","46.55B","15.48","58000",1
"289","MCO","52.39B","38.25","14426",1
"290","MDLZ","88.26B","33.21","91000",1
"291","MDT","102.86B","25.77","95000",0
"292","MET","51.57B","26.54","45000",1
"293","META","451.81B","22.13","86482",1
"294","MGM","16.66B","13.35","46000",1
"295","MHK","6.27B","355.07","40900",0
"296","MKC","19.54B","28.82","14200",0
"297","MKTX","12.97B","54.02","744",0
"298","MLM","22.43B","26.52","9400",1
"299","MMC","79.37B","26.91","85000",0
"300","MMM","58.27B","10.56","92000",0
"301","MNST","53.93B","46.14","4092",1
"302","MO","83.44B","14.68","6300",0
"303","MOH","15.58B","19.9","15000",0
"304","MOS","18.24B","5.44","13570",0
"305","MPC","55.32B","4.5","17800",1
"306","MPWR","23.30B","55.78","3247",1
"307","MRK","275.21B","18.95","69000",1
"308","MRNA","52.84B","7.12","3900",1
"309","MRO","15.73B","4.89","1570",1
"310","MS","157.61B","15.63","82000",1
"311","MSCI","41.30B","50","4759",1
"312","MSFT","1857.57B","28.2","221000",1
"313","MSI","44.25B","33.74","20000",1
"314","MTB","23.37B","12.79","22210",1
"315","MTCH","10.65B","30.7","2700",1
"316","MTD","32.31B","38.74","16400",0
"317","MU","61.69B","10.32","48000",1
"318","NCLH","6.18B","-","38900",1
"319","NDAQ","26.85B","24.37","6377",0
"320","NDSN","12.50B","25.69","7200",1
"321","NEE","144.33B","35.53","15300",1
"322","NEM","32.90B","-","14600",0
"323","NFLX","137.40B","34.12","12800",1
"324","NI","11.25B","16.33","7117",1
"325","NKE","183.76B","33.85","79100",1
"326","NOC","71.34B","14.77","95000",1
"327","NOW","88.67B","279.88","20433",1
"328","NRG","7.59B","6.98","6603",0
"329","NSC","49.32B","15.58","19300",0
"330","NTAP","13.85B","11.2","12000",0
"331","NTRS","18.92B","15.12","23600",0
"332","NUE","43.81B","5.97","31400",0
"333","NVDA","582.87B","138.89","26196",1
"334","NVR","17.24B","10.84","6550",0
"335","NWL","5.51B","28.5","28000",0
"336","NWS","9.67B","32.52","25500",0
"337","NWSA","9.68B","32.88","25500",1
"338","NXPI","46.69B","17.29","34500",1
"339","O","42.37B","45.45","391",1
"340","ODFL","38.53B","28.76","23471",0
"341","OGN","5.91B","6.59","9300",0
"342","OKE","29.48B","17.48","2966",0
"343","OMC","18.28B","14.13","74200",0
"344","ORCL","232.50B","27.64","143000",0
"345","ORLY","51.53B","24.8","71612",1
"346","OTIS","34.89B","28.81","69000",0
"347","OXY","55.04B","5","11973",0
"348","PARA","14.20B","21.32","24500",0
"349","PAYC","17.17B","59.66","6349",1
"350","PAYX","40.39B","27.88","16000",0
"351","PCAR","38.96B","14.69","31100",0
"352","PEAK","12.60B","25.92","199",1
"353","PEG","29.20B","28.67","12525",1
"354","PENN","4.69B","23.98","21875",1
"355","PEP","238.65B","26.73","315000",0
"356","PFE","222.53B","7.33","83000",1
"357","PFG","19.91B","4.42","19300",0
"358","PG","322.22B","24.16","106000",1
"359","PGR","82.21B","123.93","55100",0
"360","PH","45.96B","37.45","55090",1
"361","PHM","12.15B","4.89","6524",1
"362","PKG","12.27B","12.54","15100",0
"363","PKI","15.31B","30.65","16700",1
"364","PLD","113.36B","28.72","2466",1
"365","PM","153.33B","17.16","79800",1
"366","PNC","57.00B","10.48","59894",0
"367","PNR","9.01B","19.11","11250",0
"368","PNW","8.59B","18.08","82",0
"369","POOL","13.61B","19.01","6000",0
"370","PPG","30.27B","30.26","52000",0
"371","PPL","19.69B","27.86","6527",1
"372","PRU","34.30B","-","39854",0
"373","PSA","52.26B","12.81","5900",1
"374","PSX","45.98B","4.33","13000",1
"375","PTC","14.49B","42.43","6503",1
"376","PVH","4.94B","12.5","19000",1
"377","PWR","22.95B","48.9","47300",1
"378","PXD","48.01B","6.59","2076",1
