,Date,X,USDHashprice,BTCHashprice,CoinPrice,StandardizedCloseUSDBTC,StandardizedCloseHashBTC,StandardizedClosePriceBTC,Close,StandardizedCloseMSTR,MarketCap,StandardizedMarketCap,BTCHoldings,StandardizedBitcoinHoldings
404,9/29/21,583,280.89,0.00671615,41823.06828,1.448497177,0.564960101,0.121578003,56.63,-0.173819519,4428126220,-0.334306677,114042,-0.270051062
405,9/30/21,584,290.5,0.00671488,43262.12829,1.544195077,0.564606073,0.183812788,57.84,-0.159292074,4522740960,-0.328662832,114042,-0.270051062
406,10/1/21,585,309.19,0.00671174,46067.04074,1.730313053,0.563730761,0.305116363,61.25,-0.118351092,4789382500,-0.31275745,114042,-0.270051062
407,10/4/21,588,322.62,0.00669889,48160.21759,1.864051116,0.56014867,0.395639628,60.73,-0.124594292,4748721620,-0.315182904,114042,-0.270051062
408,10/5/21,589,320.78,0.00640556,50078.36942,1.845728105,0.478379441,0.478593616,65.1,-0.072127404,5090429400,-0.29479976,114042,-0.270051062
409,10/6/21,590,340.11,0.00642588,52928.15926,2.038219302,0.484043883,0.601837996,67.38,-0.044753375,5268711720,-0.284165076,114042,-0.270051062
410,10/7/21,591,353.36,0.00650012,54362.07332,2.170164898,0.504739167,0.663850235,69.28,-0.021941685,5417280320,-0.27530284,114042,-0.270051062
411,10/8/21,592,354.09,0.00650176,54460.63835,2.177434353,0.505196336,0.668112861,70.88,-0.00273184,5542390720,-0.267839904,114042,-0.270051062
412,10/11/21,595,364.36,0.00642469,56712.46395,2.279704637,0.483712156,0.765497182,73.18,0.024882311,5722236920,-0.257111933,114042,-0.270051062
413,10/12/21,596,366.07,0.00646435,56629.0501,2.296733088,0.494767853,0.761889797,71.07,-0.000450671,5557247580,-0.26695368,114042,-0.270051062
414,10/13/21,597,361.31,0.00644649,56047.55456,2.249332255,0.489789166,0.736741958,72.63,0.018278927,5679230220,-0.259677318,114042,-0.270051062
415,10/14/21,598,370.44,0.00642609,57646.25145,2.340250239,0.484102423,0.805880532,72.4,0.015517512,5661245600,-0.260750115,114042,-0.270051062
416,10/15/21,599,386.1,0.0064472,59886.46234,2.496194995,0.489987087,0.902762554,74.99,0.046613448,5863768060,-0.248669487,114042,-0.270051062
417,10/18/21,602,395.4,0.00639892,61791.67735,2.588805866,0.476528462,0.985157066,73.96,0.034247111,5783228240,-0.253473752,114042,-0.270051062
418,10/19/21,603,399.73,0.00637174,62734.82597,2.631924691,0.468951714,1.025945255,72.72,0.019359481,5686267680,-0.259257528,114042,-0.270051062
419,10/20/21,604,412.85,0.00635474,64967.25279,2.762575725,0.464212761,1.12249064,75.82,0.056578555,5928669080,-0.244798089,114042,-0.270051062
420,10/21/21,605,411.94,0.00640386,64326.82788,2.753513802,0.477905546,1.094794293,73.54,0.029204526,5750386760,-0.255432773,114042,-0.270051062
421,10/22/21,606,396.6,0.00637826,62179.96758,2.600755656,0.470769241,1.001949388,71.85,0.008914128,5618238900,-0.263315499,114042,-0.270051062
422,10/25/21,609,396.12,0.00632663,62611.53252,2.59597574,0.456376764,1.020613204,74.6,0.041931049,5833272400,-0.250488578,114042,-0.270051062
423,10/26/21,610,395.35,0.00634528,62306.15513,2.588307958,0.461575674,1.007406599,73.49,0.028604219,5746477060,-0.25566599,114042,-0.270051062
